feature,mean_rank_corr_with_z_hat,abs_mean_rank_corr,t_stat,positive_rate
z_amount,-0.6735750579499248,0.6735750579499248,-133.9780237983879,0.0
z_volume,-0.5134637192363415,0.5134637192363415,-101.8811077905825,0.0
z_nmv,-0.403336924479143,0.403336924479143,-42.808516582973375,0.0
z_tmv,-0.4026299764343763,0.4026299764343763,-41.34480431063271,0.0
z_total_shareholder_equity,-0.20156157429548074,0.20156157429548074,-23.231962149626153,0.0
z_total_assets,-0.18920995886620628,0.18920995886620628,-18.938262795304574,0.022727272727272728
z_total_current_assets,-0.1889472746870881,0.1889472746870881,-20.197967435397707,0.011363636363636364
z_total_non_current_assets,-0.18675752011815935,0.18675752011815935,-22.694116982268365,0.0
z_adjfactor,0.18628521309016124,0.18628521309016124,29.56589146599981,1.0
z_money,-0.16235890209618553,0.16235890209618553,-16.43604645477026,0.056818181818181816
z_gross_profit_ttm,-0.15407974733480392,0.15407974733480392,-15.434866155200162,0.056818181818181816
z_listing_days,-0.14963768398087723,0.14963768398087723,-16.64965467527698,0.045454545454545456
z_gross_profit,-0.14807869907342808,0.14807869907342808,-14.959629932155527,0.045454545454545456
z_total_current_liability,-0.14697143849341518,0.14697143849341518,-15.905481125008173,0.056818181818181816
z_account_receivable,-0.14526509840485857,0.14526509840485857,-23.75604276442381,0.011363636363636364
z_operating_revenue_ttm,-0.14215481328064505,0.14215481328064505,-14.456392138750198,0.056818181818181816
z_total_liability,-0.13978936152835486,0.13978936152835486,-13.886245635191639,0.056818181818181816
z_net_asset_gr,-0.13871923806485184,0.13871923806485184,-25.715879477991038,0.0
z_ebitda_ttm,-0.1375347517491283,0.1375347517491283,-15.237106063130982,0.045454545454545456
z_operating_revenue,-0.13521233910680405,0.13521233910680405,-13.902254206557048,0.056818181818181816
z_current_liability_gr,0.1340028844732126,0.1340028844732126,29.70220285626999,1.0
z_accounts_payable,-0.12996820835495881,0.12996820835495881,-14.547732074466516,0.09090909090909091
z_total_non_current_liability,-0.12866877575562558,0.12866877575562558,-15.4985983921174,0.022727272727272728
z_inventories,-0.1281436801876812,0.1281436801876812,-16.41859385601452,0.045454545454545456
z_gross_profit_q,-0.12596860450994304,0.12596860450994304,-12.267886015258044,0.06818181818181818
z_intangible_assets,-0.12369831194073572,0.12369831194073572,-18.205126277295637,0.0
z_operating_revenue_q,-0.12049601380861538,0.12049601380861538,-12.213618573338051,0.06818181818181818
z_operating_cost_ttm,-0.1198432480029012,0.1198432480029012,-13.029000435892328,0.07954545454545454
z_fixed_assets,-0.11892386453193061,0.11892386453193061,-17.017616934619078,0.0
z_ebitda,-0.11766996466563077,0.11766996466563077,-11.537228723656808,0.125
z_ebit_ttm,-0.11584543622107563,0.11584543622107563,-12.878097508758112,0.09090909090909091
z_operating_cost,-0.1140676690323741,0.1140676690323741,-12.597885697043667,0.09090909090909091
z_ebit,-0.11156376973735602,0.11156376973735602,-11.058782260064543,0.125
z_net_profit_ttm,-0.10920417380913326,0.10920417380913326,-12.701058581936413,0.10227272727272728
z_total_profit_ttm,-0.1071824704820299,0.1071824704820299,-12.202063123479602,0.10227272727272728
z_operating_profit_ttm,-0.10615321546814477,0.10615321546814477,-12.048345570069516,0.10227272727272728
z_operating_cost_q,-0.10224408130372535,0.10224408130372535,-11.204374306278524,0.09090909090909091
z_net_profit,-0.10131247769536139,0.10131247769536139,-10.41333683926508,0.14772727272727273
z_total_profit,-0.10046395784593526,0.10046395784593526,-10.183576704401668,0.14772727272727273
z_operating_profit,-0.09907577466783647,0.09907577466783647,-10.056955222053494,0.1590909090909091
z_fcff_q,0.09337749136822202,0.09337749136822202,22.034475181801632,0.9772727272727273
z_roa_ttm,-0.08734729256003206,0.08734729256003206,-12.309321232277862,0.14772727272727273
z_net_operate_cash_flow_ttm,-0.08513986218501418,0.08513986218501418,-13.207789714285003,0.045454545454545456
z_fcffps_q,0.08334123799204239,0.08334123799204239,21.261631763673023,0.9772727272727273
z_net_profit_cut,-0.08302857059035539,0.08302857059035539,-8.92195943499155,0.20454545454545456
z_net_invest_cash_flow_ttm,0.08288736811692864,0.08288736811692864,13.398517710386717,0.8977272727272727
z_net_profit_cut_ttm,-0.08141691821429259,0.08141691821429259,-9.655038594541754,0.17045454545454544
z_good_will,-0.08069906691369083,0.08069906691369083,-20.79908646930259,0.0
z_net_profit_ratio_ttm,-0.0801148469644553,0.0801148469644553,-10.106551669354435,0.20454545454545456
z_net_profit_ratio,-0.07962483058719695,0.07962483058719695,-8.395598415162974,0.22727272727272727
z_roa,-0.07740288969625833,0.07740288969625833,-9.561595929635562,0.19318181818181818
z_oper_revenue_gr_q,0.07700121172470516,0.07700121172470516,9.720859035324965,0.8522727272727273
z_net_profit_gr_ttm,-0.0741499987667353,0.0741499987667353,-11.666531473174219,0.09090909090909091
z_ebit_q,-0.06927601423513967,0.06927601423513967,-6.596525187385517,0.23863636363636365
z_roe_ttm,-0.06863031213654693,0.06863031213654693,-8.719154861750399,0.19318181818181818
z_eps_gr_ttm,-0.06450331216963562,0.06450331216963562,-9.962912266294449,0.11363636363636363
z_fcff,0.0619964829957715,0.0619964829957715,14.241377844592956,0.9431818181818182
z_net_profit_q,-0.05809006102076495,0.05809006102076495,-5.705715269575274,0.3068181818181818
z_total_profit_q,-0.05733251922596334,0.05733251922596334,-5.541990945459854,0.3068181818181818
z_operating_profit_q,-0.05715398939931182,0.05715398939931182,-5.554155183744627,0.29545454545454547
z_roe,-0.05627864997115209,0.05627864997115209,-6.318564004988668,0.29545454545454547
z_fcffps,0.055263906877704286,0.055263906877704286,11.07834515213357,0.8522727272727273
z_net_invest_cash_flow,0.054760068240496264,0.054760068240496264,10.1953701887338,0.8636363636363636
z_eps_ttm,-0.05041276392944905,0.05041276392944905,-6.326260733803388,0.2840909090909091
z_net_profit_cut_q,-0.0483051262476312,0.0483051262476312,-5.059895300962137,0.3181818181818182
z_net_profit_gr,-0.045936271088229175,0.045936271088229175,-5.380124798223331,0.26136363636363635
z_eps,-0.043815293960030796,0.043815293960030796,-5.067249620725162,0.32954545454545453
z_eps_gr_q,0.04294923405086686,0.04294923405086686,5.278449828162817,0.7159090909090909
z_eps_gr,-0.040170821273385206,0.040170821273385206,-4.785008322888341,0.2727272727272727
z_ebitda_q,-0.0400410629266507,0.0400410629266507,-3.4498716795754967,0.4431818181818182
z_net_profit_gr_q,0.03904835487746436,0.03904835487746436,4.656175605123848,0.7045454545454546
z_net_profit_ratio_q,-0.03809591492627862,0.03809591492627862,-3.8154770855792073,0.4090909090909091
z_net_finance_cash_flow_q,0.03747642672558353,0.03747642672558353,10.380170408459657,0.8863636363636364
z_gross_profit_ratio,-0.036799162862244286,0.036799162862244286,-7.433671847042451,0.22727272727272727
z_gross_profit_ratio_ttm,-0.035921111152844507,0.035921111152844507,-7.464025929047563,0.22727272727272727
z_fcffps_ttm,0.03346485490005156,0.03346485490005156,4.9959106028285944,0.6363636363636364
z_net_invest_cash_flow_q,0.0325375224892263,0.0325375224892263,7.121185568667463,0.7954545454545454
z_net_operate_cash_flow,-0.02974814686636003,0.02974814686636003,-6.525475915315688,0.23863636363636365
z_net_finance_cash_flow,0.029192628065912374,0.029192628065912374,7.404414583804466,0.7840909090909091
z_gross_profit_ratio_q,-0.028627634995228256,0.028627634995228256,-5.869040782299283,0.23863636363636365
z_net_operate_cash_flow_q,-0.0268247063383129,0.0268247063383129,-5.837367248103135,0.25
z_total_asset_turn_over,0.02612601538530752,0.02612601538530752,3.474910953768888,0.6022727272727273
z_fcff_ttm,0.02610509003528291,0.02610509003528291,4.563995398543962,0.6363636363636364
z_roa_q,-0.023305049943396952,0.023305049943396952,-2.555059998669578,0.38636363636363635
z_net_finance_cash_flow_ttm,0.021480419817976996,0.021480419817976996,3.577098384940766,0.5909090909090909
z_oper_revenue_gr,0.020437275880248098,0.020437275880248098,2.776523959551131,0.5568181818181818
z_inventory_turn_over,0.01281610196462012,0.01281610196462012,2.4535670113116588,0.5795454545454546
z_oper_revenue_gr_ttm,-0.012092219822838866,0.012092219822838866,-1.9149526126340033,0.375
z_current_assets_gr,-0.011618934976867138,0.011618934976867138,-2.0601626500243886,0.4659090909090909
z_inventory_gr,0.010382906933279206,0.010382906933279206,2.31387148909375,0.5909090909090909
z_current_asset_turn_over,0.009613728705145664,0.009613728705145664,1.2251411004923212,0.4772727272727273
z_current_ratio,0.009228868313278427,0.009228868313278427,1.4769422537677446,0.5227272727272727
z_account_turn_over,0.008904742392602912,0.008904742392602912,1.370743242484429,0.5681818181818182
z_debt_to_equity_ratio,0.007430917290116649,0.007430917290116649,0.839513933797054,0.6022727272727273
z_fix_asset_turn_over,0.006960643643643364,0.006960643643643364,0.818022561109945,0.5454545454545454
z_equity_multiplier,0.004373952117269011,0.004373952117269011,0.48479764899129024,0.5909090909090909
z_debt_assets_ratio,0.003936256886448365,0.003936256886448365,0.4528550641563324,0.5681818181818182
z_roe_q,0.001471016488745025,0.001471016488745025,0.15116662225962382,0.5568181818181818
z_cash_ratio,0.0004390075955908259,0.0004390075955908259,0.08775041267847147,0.4772727272727273
z_eps_q,-0.00012950341720276715,0.00012950341720276715,-0.013708899146626348,0.5340909090909091
